Site_No,,,,,,,,,,,,,,,,,,,,,,,
Site_No,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Dut_No,Site_No,Dut_Pass,SW_Bin,Data_Num,OS_VCC,OS_SW,Vf,Isw,Ivcc,garbage,,Vcc,Vcc1,Icc_5V,Icc_1V,Icc3,Vcc_on,Vcc_off,SW_Freq_debug,BlankingTime,Tbodydiode,Ivcc_GateOn,Iq,
44,0,TRUE,1,17,-0.5063,-0.4655,-0.605,51.3661,278.9284,,,4.3849,7.7116,-31.0876,-18.841,80.1889,3.81,3.65,0,3.4,0,1.222,85.1409
45,0,TRUE,1,17,-0.5073,-0.4662,-0.602,50.8582,290.58,,,4.3844,7.7068,-31.2913,-18.849,81.6306,3.82,3.65,26.3227,3.4,0,1.22,86.3965
46,0,TRUE,1,17,-0.5074,-0.4664,-0.6,50.4005,276.9638,,,4.3853,7.73,-30.1673,-18.284,79.146,3.82,3.64,21.9298,3.4,0,1.197,83.7966
47,0,TRUE,1,17,-0.5058,-0.4671,-0.604,51.4045,282.2106,,,4.3845,7.7896,-30.8603,-18.584,80.6704,3.85,3.65,21.9298,3.4,0,1.205,85.4215
48,0,TRUE,1,17,-0.5053,-0.4662,-0.601,51.4931,281.404,,,4.3863,7.8208,-31.04,-18.647,79.4149,3.85,3.66,21.9298,3.4,0,1.212,84.3875
49,0,TRUE,1,17,-0.508,-0.4732,-0.602,51.3306,291.2447,,,4.3861,7.7667,-31.8576,-19.309,81.3676,3.84,3.65,0,3.4,0,1.23,86.1897
50,0,TRUE,1,17,-0.5074,-0.4807,-0.606,50.8936,278.5325,,,4.3845,7.7517,-31.5962,-19.102,80.1032,3.82,3.64,21.9298,3.4,0,1.214,84.7716
51,0,TRUE,1,17,-0.5077,-0.4824,-0.609,52.1338,280.311,,,4.3823,7.8066,-32.2144,-19.761,81.5567,3.83,3.66,0,3.4,0,1.226,86.3226
52,0,TRUE,1,17,-0.5064,-0.4832,-0.609,51.4074,287.8621,,,4.3836,7.7407,-31.976,-19.253,80.6143,3.82,3.65,13.1579,3.4,0,1.223,85.4659
53,0,TRUE,1,17,-0.5075,-0.4849,-0.609,50.7844,286.8429,,,4.383,7.7112,-32.4029,-19.565,80.9747,3.82,3.65,16.4474,3.4,0,1.223,85.5545
54,0,TRUE,1,17,-0.5077,-0.4848,-0.609,50.7401,296.0602,,,4.383,7.795,-32.1178,-19.325,80.1446,3.85,3.65,21.9298,3.4,0,1.222,85.2
55,0,TRUE,1,17,-0.5068,-0.484,-0.61,50.8346,289.0408,,,4.3824,7.7266,-32.2443,-19.708,80.4459,3.83,3.64,20.8247,3.6,0,1.206,84.9488
56,0,TRUE,1,17,-0.5065,-0.4809,-0.608,50.1023,273.3862,,,4.384,7.8155,-31.6711,-19.304,78.564,3.86,3.65,0,3.6,0,1.195,82.925
57,0,TRUE,1,17,-0.5079,-0.4789,-0.604,49.7627,302.1578,,,4.3831,7.8196,-32.294,-19.593,79.4326,3.84,3.65,20.8333,3.6,0,1.219,84.6091
58,0,TRUE,1,17,-0.5078,-0.4852,-0.609,49.993,268.7332,,,4.3831,7.8105,-31.5302,-19.328,77.6246,3.85,3.65,17.8571,3.6,0,1.177,81.8319
59,0,TRUE,1,17,-0.5078,-0.4865,-0.61,50.4448,291.0113,,,4.3822,7.7874,-32.1951,-19.489,79.3587,3.84,3.65,20.8333,3.6,0,1.214,84.417
60,0,FALSE,3,4,-0.508,-0.496,-0.621,61.8427
61,0,TRUE,1,17,-0.5079,-0.4888,-0.613,50.3237,274.2222,,,4.3837,7.8026,-31.4728,-19.197,77.6275,3.86,3.65,25,3.6,0,1.192,82.8955
62,0,TRUE,1,17,-0.5085,-0.4977,-0.621,50.0373,293.7115,,,4.3844,7.8689,-31.7623,-18.973,80.0796,3.87,3.66,32.9056,3.4,0,1.207,84.4909
63,0,TRUE,1,17,-0.5069,-0.4871,-0.613,50.9261,273.8973,,,4.3821,7.8098,-31.9136,-19.429,80.2155,3.85,3.66,18.8005,3.4,0,1.198,84.6977
64,0,TRUE,1,17,-0.5076,-0.4802,-0.605,50.0403,282.4942,,,4.3848,7.7712,-31.4285,-18.994,79.1726,3.84,3.64,0,3.4,0,1.206,84.1068
65,0,TRUE,1,17,-0.5079,-0.4697,-0.604,50.371,277.6108,,,4.3852,7.8882,-31.6117,-18.958,79.5094,3.88,3.65,26.3158,3.4,0,1.195,84.0329
66,0,TRUE,1,17,-0.5062,-0.468,-0.606,50.2115,276.4586,,,4.3835,7.7636,-31.9652,-19.477,78.5286,3.81,3.65,26.3158,3.4,0,1.197,83.058
67,0,TRUE,1,17,-0.5076,-0.4693,-0.602,50.6692,279.7083,,,4.3838,7.8088,-32.5285,-19.698,79.8019,3.86,3.66,26.3158,3.4,0,1.198,84.7125
68,0,TRUE,1,17,-0.5065,-0.4646,-0.602,49.9576,278.1603,,,4.3824,7.7789,-32.5695,-19.835,78.5197,3.83,3.65,12.5,3.6,0,1.199,83.2648
69,0,FALSE,3,4,-0.5016,-0.4442,-0.591,500.3321
70,0,TRUE,1,17,-0.5082,-0.4655,-0.6,50.5511,276.305,,,4.3815,7.7961,-32.0502,-19.394,78.5374,3.84,3.66,25,3.6,0,1.188,83.3239
71,0,TRUE,1,17,-0.5082,-0.468,-0.601,50.0875,283.6286,,,4.3812,7.7922,-32.2018,-19.71,78.7324,3.83,3.62,20.8333,3.6,0,1.189,83.5307
72,0,TRUE,1,17,-0.5063,-0.467,-0.601,50.1436,284.8546,,,4.3795,7.7477,-32.6629,-19.881,80.0382,3.83,3.63,0,3.4,0,1.208,84.8306
73,0,TRUE,1,17,-0.507,-0.4678,-0.601,50.3798,274.7835,,,4.3812,7.756,-31.3811,-18.988,78.9008,3.82,3.64,26.3089,3.4,0,1.192,83.5307
74,0,TRUE,1,17,-0.507,-0.4675,-0.6,50.9675,275.9741,,,4.3779,7.8338,-32.5201,-19.914,79.7694,3.86,3.65,26.3158,3.4,0,1.203,84.1954
75,0,TRUE,1,17,-0.5079,-0.4719,-0.6,51.3513,280.0008,,,4.3798,7.7978,-31.972,-19.379,79.5153,3.85,3.67,21.9298,3.4,0,1.207,84.0773
76,0,TRUE,1,17,-0.5072,-0.4789,-0.604,51.4399,279.0849,,,4.3799,7.795,-32.7644,-20.177,78.9126,3.84,3.67,31.2695,3.6,0,1.206,83.7375
77,0,TRUE,1,17,-0.5075,-0.4725,-0.602,51.0678,293.5372,,,4.3802,7.7906,-32.9121,-19.952,80.9452,3.84,3.65,21.9298,3.4,0,1.229,85.6284
78,0,TRUE,1,17,-0.5083,-0.476,-0.603,51.3986,280.2194,,,4.3816,7.8338,-32.2574,-19.649,79.8462,3.86,3.65,0,3.4,0,1.217,84.8602
79,0,TRUE,1,17,-0.508,-0.4746,-0.602,50.9763,286.4736,,,4.3819,7.8223,-31.9345,-19.507,80.05,3.86,3.67,65.7895,3.4,0,1.217,84.4466
80,0,TRUE,1,17,-0.5066,-0.4776,-0.605,50.0698,279.9653,,,4.3819,7.8152,-31.4749,-19.167,79.0692,3.84,3.66,25,3.6,0,1.2,83.8557
81,0,TRUE,1,17,-0.5065,-0.4769,-0.605,49.8956,277.7112,,,4.3817,7.7633,-31.2476,-19.091,78.9599,3.83,3.64,26.3227,3.4,0,1.191,83.3239
